"befnr","StartYear","industry_category","LegalForm","Location","FollowerBusiness","IndAffBusiness","EmployeeNum","CompanyEndYear","YearsWorkExperience","YearsSchooling","CapitalInvested","GenSpeBusiness","TradInnoBusiness","MarketScope","CompetitionIntensity","Seasonality","OrderClusters","IndustryExperience","FounderFather","beg1","beg2","beg3","beg4","beg5","beg6","beg7","beg8","beg9","beg10","beg11","beg12","beg13","beg14","beg15","beg16","beg17","beg18","beg19","beg20","end1","end2","end3","end4","end5","end6","end7","end8","end9","end10","end11","end12","end13","end14","end15","end16","end17","end18","end19","end20","typ1","typ2","typ3","typ4","typ5","typ6","typ7","typ8","typ9","typ10","typ11","typ12","typ13","typ14","typ15","typ16","typ17","WorkExperienceYears","SelfEmploymentYears","SelfEmploymentExp","EndYear_Clean","Censored","SurvivalTime","SurvivalMonths"
"7073",1986,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",20,17,5000,"Specialist","Traditional","National",4,4,3,1,0,"56","59","62","70","71","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","59","62","70","71","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ab","ab","se","m","m","m","m","m","m","m","m","m","m","m","m",15,15,"1.0",1990,1,4,48
"7075",1986,"Other Services","Small tradesman","Upper Bavaria","Newcomer","Independent",0,"Business still registered",18,13,3000,"Generalist","Traditional","Local",NA,2,5,0,0,"60","64","69","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","64","69","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m",26,0,"0.0",1990,1,4,48
"7076",1986,"Wholesale/Retail Trade","Small tradesman","Upper Bavaria","Follower","Independent",1,"Business still registered",26,12,0,"Specialist","Traditional","Local",NA,3,NA,1,0,"58","66","70","81","82","83","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","66","70","81","82","83","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","ne","ab","al","ne","se","m","m","m","m","m","m","m","m","m","m","m",19,3,"1.0",1990,1,4,48
"7079",1986,"Manufacturing","Small tradesman","Upper Bavaria","Follower","Independent",2,"Business still registered",12,18,20000,"Generalist","Traditional","Local",5,5,5,1,0,"63","67","69","71","84","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","67","69","71","84","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","wz","le","ab","ab","m","m","m","m","m","m","m","m","m","m","m","m",21,0,"0.0",1990,1,4,48
"7087",1986,"Computer Services","Small tradesman","Upper Bavaria","Newcomer","Independent",0,"Business still registered",9,12,5000,"Specialist","Innovative","Local",5,3,3,1,0,"64","68","70","72","78","82","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","68","70","72","78","82","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","wz","ab","le","ab","ab","ab","m","m","m","m","m","m","m","m","m","m","m",18,0,"0.0",1990,1,4,48
"7092",1986,"Manufacturing","Small tradesman","Upper Bavaria","Follower","Independent",0,"Business still registered",2,10,160000,"Specialist","Traditional","Local",3,3,NA,0,0,"81","82","84","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","82","84","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ne","m","m","m","m","m","m","m","m","m","m","m","m","m","m",3,0,"0.0",1990,1,4,48
"7093",1986,"Manufacturing","Small tradesman","Munich","Newcomer","Independent",2,"Business still registered",6,12,0,"Specialist","Innovative","National",5,5,2,1,0,"64","72","74","79","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","72","74","79","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","ab","ab","ab","m","m","m","m","m","m","m","m","m","m","m","m","m",22,0,"0.0",1990,1,4,48
"7094",1986,"Manufacturing","Small tradesman","Munich","Follower","Independent",1,"Business still registered",15,14,10000,"Specialist",NA,"Local",2,3,3,1,0,"67","70","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","70","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",19,0,"0.0",1990,1,4,48
"7095",1986,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",1,"Business still registered",10,12,1500,"Specialist","Traditional","Local",5,3,2,1,0,"57","60","63","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","60","63","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","wz","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m",26,0,"0.0",1990,1,4,48
"7097",1986,"Manufacturing","Small tradesman","Upper Bavaria","Newcomer","Independent",3,"Business still registered",9,12,3500,"Specialist","Innovative","Local",NA,3,NA,0,0,"80","85","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","85","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","ab","se","m","m","m","m","m","m","m","m","m","m","m","m","m","m","m",5,1,"1.0",1990,1,4,48
"7100",1986,"Manufacturing","Small tradesman","Upper Bavaria","Follower","Independent",4,"Business still registered",12,11,10000,"Generalist","Traditional","Local",5,3,4,1,0,"62","65","67","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","65","67","86","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","Business established","le","ab","ab","m","m","m","m","m","m","m","m","m","m","m","m","m","m",24,0,"0.0",1990,1,4,48
